movieCd,movieNm,movieNmEn,prdtYear,openDt,typeNm,prdtStatNm,nationAlt,genreAlt,repNationNm,repGenreNm
20249692,새아들 물 터트린 엄마,AJIRO-01,2023,20250101,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20249672,곧추 세워준 상담사 손맛,SEIKAN KAUNSERA-04,2023,20250101,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20200142,소방관,FIREFIGHTERS,2024,20241204,장편,개봉,한국,드라마,한국,드라마
20252687,골 때리고 떡 때리는 그녀들: 연장전,,2025,20250211,장편,개봉,한국,드라마,한국,드라마
20190300,보고타: 마지막 기회의 땅,Bogota: City of the Lost,2024,20241231,장편,개봉,한국,"범죄,드라마",한국,범죄
20233006,히트맨2,HITMAN2,2023,20250122,장편,개봉,한국,"코미디,액션",한국,코미디
20251714,하이퍼 프로젝션 연극 하이큐!!,HYPER PROJECTION ENGEKI“HAIKYU!!”,2015,20250124,장편,개봉,일본,공연,일본,공연
20236462,세입자,The Tenants,2023,20241204,장편,개봉,한국,"SF,스릴러,공포(호러),판타지",한국,SF
20246193,"알레고리, 잇츠 낫 미","An Urban Allegory, It's not me",2024,20241218,옴니버스,개봉,프랑스,기타,프랑스,기타
20249343,카라바조의 그림자,Caravaggio's Shadow,2022,20250122,장편,개봉,이탈리아,드라마,이탈리아,드라마
20224303,귀신경찰,THUNDERSTRUCK COP,2024,20250124,장편,개봉,한국,코미디,한국,코미디
20252242,하이퍼 프로젝션 연극 하이큐!! 승자와 패자,HYPER PROJECTION ENGEKI “HAIKYU!!”:The Winner and the Loser,2017,20250207,장편,개봉,일본,공연,일본,공연
20252025,예쁜데 외로움 타는 돌싱녀,,2024,20250207,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20248559,영화 러브 라이브! 니지가사키 학원 스쿨 아이돌 동호회 완결편 제1장,Love Live! Nijigasaki High School Idol Club The Movie – Finale – Chapter 1,2024,20250206,장편,개봉,일본,애니메이션,일본,애니메이션
20252012,여대생의 야릇한 친절,,2024,20250206,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20241390,머더 컴퍼니: 살인 중대,MURDER COMPANY,2024,20250206,장편,개봉,미국,"전쟁,액션",미국,전쟁
20248082,동화지만 청불입니다,FORBIDDEN FAIRYTALE,2024,20250108,장편,개봉,한국,코미디,한국,코미디
20233217,더 킬러스,The Killers,2023,20241023,장편,개봉,한국,"드라마,액션,스릴러",한국,드라마
20247017,대가족,About Family,2023,20241211,장편,개봉,한국,"드라마,코미디",한국,드라마
20252011,처음이라 더 맛있어,,2024,20250205,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20252024,여동생보다 맛있는 언니,,2024,20250205,장편,개봉,한국,성인물(에로),한국,성인물(에로)
20245055,백산 - 의령에서 발해까지,,2024,20250205,장편,개봉,한국,다큐멘터리,한국,다큐멘터리
20251563,만담,,2024,20250205,장편,개봉,한국,공연,한국,공연
20252039,"레드벨벳 해피니스 다이어리 : 마이 디어, 레베럽 인 시네마","Red Velvet Happiness Diary : My Dear, ReVe1uv In Cinemas  ",2025,20250205,장편,개봉,한국,공연,한국,공연
20248143,데드데드 데몬즈 디디디디 디스트럭션: 파트2,Dead Dead Demon's Dededede Destruction,2024,20250205,장편,개봉,일본,애니메이션,일본,애니메이션
20228573,고양이키스 : 당신에게 마음을 여는 순간,Cat Kiss,2024,20250205,장편,개봉,한국,드라마,한국,드라마
20252007,젖은 밤 팬티 내려준 산타걸,YARIHUI-07S,2023,20250202,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
20251975,씨 뿌리러 돌아온 의붓아들,EROKI-02,2023,20250202,장편,개봉,일본,"성인물(에로),드라마,멜로/로맨스",일본,성인물(에로)
